epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8035,2.69578,4.60368,2.21214,0.00095,0.2,0.00068,0.00019,2.3817,5.02494,2.78428,4e-05,4e-05,4e-05
2,21.1587,2.11251,4.25886,1.93286,0.00143,0.3,0.00476,0.00225,2.1289,4.9227,2.27188,9.901e-05,9.901e-05,9.901e-05
3,29.317,2.65017,4.84709,1.97962,0.00381,0.8,0.01836,0.00788,1.9605,4.62473,2.00741,0.000156832,0.000156832,0.000156832
4,38.4054,1.25365,4.99939,1.10253,0.00429,0.9,0.18393,0.03303,1.79503,4.42885,1.615,0.000213466,0.000213466,0.000213466
5,46.5939,1.7173,3.565,1.47749,0.00429,0.9,0.15039,0.03908,1.71255,4.23064,1.61958,0.000268912,0.000268912,0.000268912
6,55.059,1.86319,3.73237,1.4571,0.00476,1,0.12552,0.05993,1.64433,4.08576,1.47623,0.00032317,0.00032317,0.00032317
7,63.2348,1.39168,3.51373,1.38034,0.00429,0.9,0.18037,0.06599,1.65338,3.99949,1.41465,0.00037624,0.00037624,0.00037624
8,71.8488,2.08193,2.80794,1.67888,0.00429,0.9,0.20338,0.09475,1.54906,3.91548,1.36891,0.000428122,0.000428122,0.000428122
9,80.0766,2.03317,2.72903,1.59674,0.00429,0.9,0.26744,0.10483,1.49079,3.79638,1.37249,0.000478816,0.000478816,0.000478816
10,88.1409,1.28953,2.07571,1.23845,0.00476,1,0.22469,0.07532,1.46862,3.80015,1.37998,0.000528322,0.000528322,0.000528322
11,96.4944,1.47605,2.19802,1.294,0.00429,0.9,0.15293,0.04528,1.41283,3.89215,1.36733,0.00057664,0.00057664,0.00057664
12,104.889,1.2713,2.46586,1.20508,0.00381,0.8,0.08514,0.04743,1.37997,3.9158,1.39097,0.00062377,0.00062377,0.00062377
13,113.021,1.25634,2.52319,1.22758,0.00381,0.8,0.08211,0.0258,1.53806,3.89428,1.43698,0.000669712,0.000669712,0.000669712
14,120.685,1.53928,2.90451,1.2961,0.00333,0.7,0.04953,0.02093,1.47893,3.87059,1.421,0.000714466,0.000714466,0.000714466
15,128.701,1.48138,2.18538,1.28747,0.00333,0.7,0.04953,0.02093,1.47893,3.87059,1.421,0.000758032,0.000758032,0.000758032
16,136.722,1.42931,2.39248,1.29266,0.00429,0.9,0.0292,0.012,1.55706,3.91296,1.50514,0.00080041,0.00080041,0.00080041
17,144.487,1.33252,2.32303,1.18601,0.00429,0.9,0.01398,0.00396,1.8585,4.08963,1.70596,0.0008416,0.0008416,0.0008416
18,152.097,1.24518,2.21223,1.14513,0.00429,0.9,0.01398,0.00396,1.8585,4.08963,1.70596,0.000881602,0.000881602,0.000881602
19,160.011,1.11012,1.68928,1.0975,0.00429,0.9,0.00552,0.00241,2.01272,4.17894,1.7941,0.000920416,0.000920416,0.000920416
20,168.128,1.07129,2.50938,1.16106,0.00333,0.7,0.09856,0.0397,2.07917,4.32357,1.81547,0.000958042,0.000958042,0.000958042
21,175.872,0.84856,3.90362,0.78133,0.00333,0.7,0.09856,0.0397,2.07917,4.32357,1.81547,0.00099448,0.00099448,0.00099448
22,183.654,1.47453,2.91699,1.24773,0.00381,0.8,0.05174,0.0303,1.91321,4.27375,1.78144,0.00102973,0.00102973,0.00102973
23,191.569,1.08463,2.56725,1.00247,0.00381,0.8,0.05174,0.0303,1.91321,4.27375,1.78144,0.00106379,0.00106379,0.00106379
24,199.706,1.17751,1.98126,1.16745,0.00333,0.7,0.06237,0.03704,2.04219,4.21908,1.8183,0.00109667,0.00109667,0.00109667
25,207.698,0.9203,3.81352,0.77583,0.00333,0.7,0.06237,0.03704,2.04219,4.21908,1.8183,0.00112835,0.00112835,0.00112835
26,215.538,1.07652,1.85879,1.11556,0.00333,0.7,0.06742,0.0368,2.01745,4.16214,1.85162,0.00115885,0.00115885,0.00115885
27,223.781,1.24081,1.8033,1.17514,0.00333,0.7,0.06742,0.0368,2.01745,4.16214,1.85162,0.00118816,0.00118816,0.00118816
28,233.373,1.43132,2.15295,1.34852,0.00381,0.8,0.14496,0.04057,1.87069,4.00993,1.70903,0.00121628,0.00121628,0.00121628
29,243.579,1.39344,2.11784,1.24256,0.00381,0.8,0.14496,0.04057,1.87069,4.00993,1.70903,0.00124322,0.00124322,0.00124322
30,252.673,1.10114,1.61377,1.1225,0.00381,0.8,0.14496,0.04057,1.87069,4.00993,1.70903,0.00126896,0.00126896,0.00126896
31,264.055,1.12892,2.25415,1.10818,0.47693,0.3,0.26638,0.08832,1.77956,3.79146,1.61277,0.00129352,0.00129352,0.00129352
32,275.033,1.1301,1.82958,1.16392,0.47693,0.3,0.26638,0.08832,1.77956,3.79146,1.61277,0.00131689,0.00131689,0.00131689
33,285.846,1.28074,2.02379,1.184,0.46622,0.3,0.19083,0.12799,1.76159,3.61111,1.63831,0.00133907,0.00133907,0.00133907
34,294.972,1.04754,2.08033,1.19176,0.46622,0.3,0.19083,0.12799,1.76159,3.61111,1.63831,0.0013466,0.0013466,0.0013466
35,303.994,1.26743,2.03281,1.12201,0.46622,0.3,0.19083,0.12799,1.76159,3.61111,1.63831,0.0013268,0.0013268,0.0013268
36,312.846,1.30164,2.01166,1.20543,0.58728,0.3,0.37302,0.14216,1.91752,3.31176,1.74529,0.001307,0.001307,0.001307
37,321.088,0.6993,3.28585,0.72802,0.58728,0.3,0.37302,0.14216,1.91752,3.31176,1.74529,0.0012872,0.0012872,0.0012872
38,329.416,1.14889,2.04027,1.13797,0.58728,0.3,0.37302,0.14216,1.91752,3.31176,1.74529,0.0012674,0.0012674,0.0012674
39,338.086,1.14468,1.62981,1.11245,0.32546,0.5,0.34279,0.11359,1.81184,3.32092,1.63209,0.0012476,0.0012476,0.0012476
40,346.959,1.078,1.93925,1.28073,0.32546,0.5,0.34279,0.11359,1.81184,3.32092,1.63209,0.0012278,0.0012278,0.0012278
41,355.606,1.04394,1.93633,1.16957,0.30481,0.395,0.20347,0.09806,1.70359,3.3488,1.59806,0.001208,0.001208,0.001208
42,364.308,1.14849,1.82814,1.16107,0.30481,0.395,0.20347,0.09806,1.70359,3.3488,1.59806,0.0011882,0.0011882,0.0011882
43,373.005,1.10317,1.58906,1.16532,0.30481,0.395,0.20347,0.09806,1.70359,3.3488,1.59806,0.0011684,0.0011684,0.0011684
44,381.34,1.01777,1.47799,1.13132,0.34912,0.5,0.32107,0.11287,1.69173,3.31288,1.54168,0.0011486,0.0011486,0.0011486
45,390.121,1.72823,2.07129,1.86686,0.34912,0.5,0.32107,0.11287,1.69173,3.31288,1.54168,0.0011288,0.0011288,0.0011288
46,398.328,1.30702,1.52111,1.19836,0.34912,0.5,0.32107,0.11287,1.69173,3.31288,1.54168,0.001109,0.001109,0.001109
47,406.794,1.10367,1.53833,1.03732,0.31666,0.5,0.33845,0.13991,1.63971,3.22926,1.46292,0.0010892,0.0010892,0.0010892
