epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.35506,2.67408,4.54547,2.08179,0.00083,0.2,0.00051,0.0001,3.47995,5.50736,3.74485,2e-05,2e-05,2e-05
2,14.2573,3.23606,6.9799,2.40312,0.00167,0.4,0.00118,0.00022,3.3835,5.52071,3.66595,5.8812e-05,5.8812e-05,5.8812e-05
3,20.987,2.38484,5.54618,2.01611,0.00083,0.2,0.00058,0.00012,3.37383,5.50288,3.63517,9.604e-05,9.604e-05,9.604e-05
4,29.1927,2.44991,5.281,2.18927,0.00167,0.4,0.0014,0.00019,3.24091,5.28048,3.47904,0.000131684,0.000131684,0.000131684
5,36.4217,2.20596,3.93205,1.78954,0.0025,0.6,0.04121,0.00812,3.26103,5.16741,3.32683,0.000165744,0.000165744,0.000165744
6,42.8034,2.39272,3.90084,2.03619,0.0025,0.6,0.02344,0.00481,3.14512,5.0577,3.27326,0.00019822,0.00019822,0.00019822
7,48.6097,2.01833,4.68611,1.84335,0.0025,0.6,0.01743,0.00347,3.13969,5.07116,3.16272,0.000229112,0.000229112,0.000229112
8,54.7215,1.42675,3.36992,1.53778,0.00333,0.8,0.01347,0.00377,2.8225,5.0047,2.91544,0.00025842,0.00025842,0.00025842
9,60.2368,1.83261,3.37062,1.6096,0.00333,0.8,0.04748,0.00766,2.85492,4.68391,2.76953,0.000286144,0.000286144,0.000286144
10,66.9092,1.77093,3.44784,1.52481,0.00417,1,0.05354,0.01247,2.56793,4.88381,2.67318,0.000312284,0.000312284,0.000312284
11,73.1617,1.65831,3.24457,1.56244,0.00417,1,0.08729,0.01777,2.63519,4.68116,2.5357,0.00033684,0.00033684,0.00033684
12,78.9351,2.09139,3.4863,1.45096,0.00417,1,0.08729,0.01777,2.63519,4.68116,2.5357,0.000359812,0.000359812,0.000359812
13,91.1911,1.29832,2.82826,1.23368,0.00417,1,0.03502,0.01702,2.2611,5.1564,2.3307,0.0003812,0.0003812,0.0003812
14,100.693,1.70498,2.88259,1.42366,0.00417,1,0.07822,0.03265,2.14459,5.17788,2.24507,0.000401004,0.000401004,0.000401004
15,109.31,1.93531,2.83196,1.6362,0.00417,1,0.07822,0.03265,2.14459,5.17788,2.24507,0.000419224,0.000419224,0.000419224
16,118.542,1.58944,2.55535,1.35009,0.00417,1,0.0557,0.01021,2.40393,5.33572,2.29719,0.00043586,0.00043586,0.00043586
17,129.914,1.20542,2.53132,1.15208,0.00417,1,0.07705,0.0185,2.41533,5.08438,2.30389,0.000450912,0.000450912,0.000450912
18,140.608,1.56877,2.1081,1.23922,0.00417,1,0.07705,0.0185,2.41533,5.08438,2.30389,0.00046438,0.00046438,0.00046438
19,151.411,1.2637,2.77652,1.10943,0.00333,0.8,0.05144,0.02086,2.29923,4.88587,2.22947,0.000476264,0.000476264,0.000476264
20,160.566,1.61632,2.51546,1.45624,0.00333,0.8,0.05144,0.02086,2.29923,4.88587,2.22947,0.000486564,0.000486564,0.000486564
21,168.5,1.26494,2.45579,1.09576,0.0025,0.6,0.09968,0.02815,2.12017,4.66705,2.14996,0.00049528,0.00049528,0.00049528
22,179.604,1.38594,2.3194,1.22897,0.0025,0.6,0.09968,0.02815,2.12017,4.66705,2.14996,0.000502412,0.000502412,0.000502412
23,188.499,1.3451,2.46287,1.26671,0.00333,0.8,0.05915,0.0162,1.75929,4.51984,1.81661,0.00050796,0.00050796,0.00050796
24,197.025,1.09742,1.91284,0.9957,0.00333,0.8,0.05915,0.0162,1.75929,4.51984,1.81661,0.000511924,0.000511924,0.000511924
25,205.718,1.36328,2.22343,1.11863,0.00333,0.8,0.01987,0.00672,1.90656,4.88923,1.85948,0.000514304,0.000514304,0.000514304
26,213.849,1.28748,2.59393,1.31318,0.00333,0.8,0.01987,0.00672,1.90656,4.88923,1.85948,0.0005151,0.0005151,0.0005151
27,222.47,1.07162,1.63796,0.98251,0.00333,0.8,0.01987,0.00672,1.90656,4.88923,1.85948,0.000514312,0.000514312,0.000514312
28,230.226,1.18143,1.71076,1.08881,0.00417,1,0.00899,0.00277,1.8401,5.0266,1.93854,0.00051194,0.00051194,0.00051194
29,237.212,1.04879,1.9736,1.25473,0.00417,1,0.00899,0.00277,1.8401,5.0266,1.93854,0.000507984,0.000507984,0.000507984
30,246.483,1.58685,1.78063,1.14987,0.00417,1,0.00616,0.00163,1.79608,4.81622,1.95886,0.000502444,0.000502444,0.000502444
31,253.471,1.00416,1.70827,1.02608,0.00417,1,0.00616,0.00163,1.79608,4.81622,1.95886,0.00049532,0.00049532,0.00049532
32,261.602,1.00319,1.90719,1.09436,0.00417,1,0.00616,0.00163,1.79608,4.81622,1.95886,0.000486612,0.000486612,0.000486612
33,269.191,1.25792,1.70915,1.07831,0.00417,1,0.01552,0.00292,1.86609,4.57244,1.97633,0.00047632,0.00047632,0.00047632
34,276.115,1.11458,2.36189,1.12203,0.00417,1,0.01552,0.00292,1.86609,4.57244,1.97633,0.000464444,0.000464444,0.000464444
35,281.432,0.97487,2.27966,1.05493,0.00417,1,0.01552,0.00292,1.86609,4.57244,1.97633,0.000450984,0.000450984,0.000450984
36,287.783,0.8382,2.16201,1.04612,0.00417,1,0.07964,0.0105,1.89603,4.47311,2.0147,0.00043594,0.00043594,0.00043594
