epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8233,2.52807,4.68687,2.13091,0.0025,0.66667,0.0093,0.00455,2.27947,4.86574,2.15697,0.00018,0.00018,0.00018
2,58.2906,1.57843,3.37309,1.59385,0.00319,0.85185,0.09134,0.02275,2.14444,4.33707,1.80506,0.000378119,0.000378119,0.000378119
3,86.7768,1.67489,3.5239,1.55892,0.00333,0.88889,0.13952,0.0474,2.22263,4.41565,1.7077,0.000574258,0.000574258,0.000574258
4,116.431,1.46554,2.91261,1.32186,0.00319,0.85185,0.08073,0.02248,2.02117,4.17161,1.61316,0.000768417,0.000768417,0.000768417
5,151.793,1.51493,2.67102,1.3442,0.00333,0.88889,0.0972,0.03428,2.00034,4.07321,1.69972,0.000960596,0.000960596,0.000960596
6,191.425,1.38939,2.35971,1.27613,0.00306,0.81481,0.09364,0.03676,2.18738,4.1299,1.80989,0.0011508,0.0011508,0.0011508
7,240.909,1.46872,2.54646,1.30457,0.27264,0.27799,0.17438,0.08423,2.20066,4.13212,1.8079,0.00133901,0.00133901,0.00133901
8,301.151,1.43159,2.35283,1.303,0.74672,0.11111,0.17417,0.10336,2.40752,4.24487,2.00508,0.00152525,0.00152525,0.00152525
9,349.751,1.34838,2.11864,1.28531,0.28503,0.14815,0.18177,0.07289,2.22754,4.00277,1.90029,0.00170951,0.00170951,0.00170951
10,389.556,1.49973,2.41816,1.41748,0.23887,0.3141,0.19227,0.08532,2.48604,3.78783,2.25514,0.00189179,0.00189179,0.00189179
11,425.82,1.33566,2.14334,1.3067,0.40234,0.22222,0.1679,0.08565,2.55154,3.65175,2.34712,0.001901,0.001901,0.001901
12,458.712,1.37301,2.11409,1.29034,0.34178,0.25926,0.23129,0.11811,2.45692,3.19735,2.32203,0.0018911,0.0018911,0.0018911
13,492.038,1.3446,2.21716,1.32146,0.38327,0.40741,0.24182,0.09612,2.43938,3.33726,2.13268,0.0018812,0.0018812,0.0018812
14,523.865,1.42135,1.99011,1.34772,0.729,0.40741,0.39236,0.12306,2.27555,3.09335,2.08534,0.0018713,0.0018713,0.0018713
15,556.678,1.43428,2.19215,1.41454,0.40426,0.48148,0.33292,0.11059,2.44108,3.49615,2.19731,0.0018614,0.0018614,0.0018614
16,590.69,1.37315,2.03822,1.29728,0.70642,0.2963,0.26437,0.08443,2.3992,4.00985,2.12385,0.0018515,0.0018515,0.0018515
17,623.412,1.41761,1.99554,1.33017,0.49512,0.44444,0.2993,0.12671,2.22608,3.51471,1.91425,0.0018416,0.0018416,0.0018416
18,656.593,1.3988,1.97179,1.43407,0.52856,0.33333,0.28917,0.13166,2.22383,2.99787,1.91018,0.0018317,0.0018317,0.0018317
19,691.1,1.28039,1.7407,1.22104,0.47868,0.33333,0.28604,0.12256,2.23841,3.09916,1.91411,0.0018218,0.0018218,0.0018218
20,723.903,1.26257,1.73812,1.29068,0.50752,0.44444,0.45777,0.16434,2.10482,3.724,1.97349,0.0018119,0.0018119,0.0018119
21,757.125,1.239,1.58509,1.22615,0.54122,0.51852,0.44391,0.16319,2.05933,4.00516,1.98946,0.001802,0.001802,0.001802
22,791.818,1.1442,1.62811,1.24473,0.53864,0.51852,0.43687,0.15704,2.16117,3.54455,2.03223,0.0017921,0.0017921,0.0017921
23,825.015,1.33852,1.66489,1.3405,0.51522,0.37037,0.38573,0.1381,2.11299,4.10424,2.0407,0.0017822,0.0017822,0.0017822
24,859.524,1.34516,1.62173,1.30331,0.4398,0.33333,0.28555,0.0905,2.10071,4.80943,2.08733,0.0017723,0.0017723,0.0017723
25,894.116,1.20849,1.52353,1.20691,0.39283,0.44444,0.32098,0.12749,2.11709,4.00722,2.19076,0.0017624,0.0017624,0.0017624
26,927.055,1.22851,1.51277,1.23201,0.32528,0.48148,0.31543,0.11539,2.1096,2.73643,2.1719,0.0017525,0.0017525,0.0017525
27,961.329,1.23337,1.49328,1.2823,0.40927,0.51852,0.32576,0.12629,2.074,2.85797,2.11909,0.0017426,0.0017426,0.0017426
28,994.3,1.20671,1.43611,1.24169,0.41459,0.55556,0.34895,0.13323,2.15125,2.70805,2.12006,0.0017327,0.0017327,0.0017327
29,1028.48,1.20188,1.43505,1.23298,0.50461,0.40741,0.37532,0.16161,2.22714,2.4315,2.16558,0.0017228,0.0017228,0.0017228
30,1061.62,1.2869,1.55291,1.33993,0.50669,0.48148,0.40699,0.15196,2.11507,2.51245,1.96124,0.0017129,0.0017129,0.0017129
31,1093.97,1.17536,1.41884,1.20398,0.61803,0.44444,0.43992,0.17399,2.04015,2.51001,1.94054,0.001703,0.001703,0.001703
32,1125.93,1.22455,1.45161,1.19059,0.49529,0.44444,0.43386,0.18053,1.98566,2.38279,1.91725,0.0016931,0.0016931,0.0016931
33,1158.54,1.07835,1.25985,1.08952,0.53495,0.37037,0.38491,0.16803,2.04785,2.55472,1.89838,0.0016832,0.0016832,0.0016832
34,1191.54,1.26758,1.47015,1.20073,0.49482,0.36307,0.3383,0.13261,2.048,2.674,1.92171,0.0016733,0.0016733,0.0016733
35,1224.45,1.13624,1.24716,1.17296,0.49544,0.44444,0.39386,0.16357,1.94275,2.33524,1.82066,0.0016634,0.0016634,0.0016634
36,1257.84,1.18226,1.30393,1.23055,0.48059,0.48148,0.4417,0.19196,1.85068,2.24927,1.79549,0.0016535,0.0016535,0.0016535
37,1290.45,1.05379,1.21578,1.14319,0.37426,0.44444,0.34469,0.15859,1.70402,2.16819,1.75412,0.0016436,0.0016436,0.0016436
38,1326.48,1.22065,1.26281,1.19151,0.34033,0.40741,0.25409,0.09436,1.85804,2.57358,1.72765,0.0016337,0.0016337,0.0016337
39,1360.24,1.17435,1.25353,1.15834,0.23898,0.44444,0.23142,0.11064,1.90997,2.48916,1.79278,0.0016238,0.0016238,0.0016238
40,1394.22,1.14458,1.16423,1.14818,0.24416,0.44444,0.24458,0.09827,2.07236,2.55124,1.83042,0.0016139,0.0016139,0.0016139
41,1428.02,1.09056,1.09736,1.09991,0.3294,0.37037,0.26789,0.10605,2.16261,2.63691,1.9065,0.001604,0.001604,0.001604
42,1462.67,1.09546,1.09846,1.10112,0.31502,0.51852,0.32569,0.1233,2.11595,2.4193,1.89013,0.0015941,0.0015941,0.0015941
43,1496.61,1.15845,1.20385,1.18225,0.35399,0.48148,0.34302,0.15694,2.05511,2.42282,1.86385,0.0015842,0.0015842,0.0015842
44,1536.8,1.15054,1.17984,1.13811,0.46115,0.37037,0.34454,0.12601,2.09684,2.53991,1.92262,0.0015743,0.0015743,0.0015743
45,1572.27,1.20424,1.21623,1.19186,0.49584,0.37037,0.35745,0.1351,2.22306,2.43357,2.05417,0.0015644,0.0015644,0.0015644
46,1607.45,1.0172,1.13588,1.13611,0.58549,0.52331,0.47889,0.16593,2.04579,2.10095,1.91529,0.0015545,0.0015545,0.0015545
47,1643.04,0.9336,1.01875,1.06677,0.51138,0.51852,0.43553,0.17454,1.9399,2.26866,1.90422,0.0015446,0.0015446,0.0015446
48,1684.42,1.06387,1.05165,1.11752,0.45988,0.51852,0.36243,0.15732,1.89633,2.22715,1.90419,0.0015347,0.0015347,0.0015347
49,1728.17,0.98202,1.04081,1.07414,0.39536,0.48148,0.33306,0.13237,1.96766,2.38137,1.93854,0.0015248,0.0015248,0.0015248
50,1774.79,1.02036,1.05316,1.08575,0.49692,0.51852,0.33698,0.12061,2.15765,2.41443,2.07571,0.0015149,0.0015149,0.0015149
51,1818.98,1.02242,1.07447,1.15934,0.59362,0.51852,0.36151,0.1167,2.09331,2.54716,2.02921,0.001505,0.001505,0.001505
52,1859.96,0.99718,1.00236,1.08025,0.47415,0.44444,0.30239,0.10673,1.97315,2.44267,1.88635,0.0014951,0.0014951,0.0014951
53,1900.6,1.08154,0.98189,1.14936,0.44373,0.40741,0.29183,0.12239,1.88771,2.49037,1.85611,0.0014852,0.0014852,0.0014852
54,1934.8,0.94048,0.98141,1.06867,0.36826,0.40741,0.32168,0.14653,2.01772,2.38634,1.88085,0.0014753,0.0014753,0.0014753
55,1967.85,1.04117,1.00211,1.09315,0.39326,0.48148,0.35794,0.18091,1.98729,2.46548,1.83067,0.0014654,0.0014654,0.0014654
56,2001.49,0.98076,0.9155,1.0592,0.37845,0.48148,0.35083,0.17639,1.96885,2.46119,1.82521,0.0014555,0.0014555,0.0014555
57,2034.73,0.95968,0.95797,1.08877,0.39461,0.55556,0.36667,0.17058,1.99699,2.24778,1.93378,0.0014456,0.0014456,0.0014456
58,2069.11,0.9405,0.9155,1.05155,0.50802,0.51852,0.41587,0.1741,1.99817,2.09892,1.90258,0.0014357,0.0014357,0.0014357
59,2106.02,0.92708,0.85448,0.98957,0.45604,0.59259,0.3785,0.15382,2.04323,2.00775,1.95708,0.0014258,0.0014258,0.0014258
60,2138.25,0.98511,0.83708,1.05504,0.51107,0.48148,0.37794,0.15894,2.05102,2.11795,2.01597,0.0014159,0.0014159,0.0014159
61,2170.55,0.93546,0.84008,1.03854,0.4166,0.55556,0.36898,0.15461,2.0137,2.29633,1.95707,0.001406,0.001406,0.001406
62,2206.35,0.91616,0.84006,1.03167,0.54417,0.53089,0.37583,0.1555,1.99324,2.14373,1.95207,0.0013961,0.0013961,0.0013961
63,2241.98,0.89482,0.85813,1.06272,0.53794,0.48148,0.37643,0.16499,1.9791,2.12724,1.85648,0.0013862,0.0013862,0.0013862
64,2286.6,0.93081,0.89723,1.02288,0.74913,0.44252,0.44849,0.17864,2.0922,2.20735,1.96595,0.0013763,0.0013763,0.0013763
65,2330.59,0.9489,0.86763,1.03428,0.49887,0.59259,0.41113,0.15793,2.0999,2.28091,2.01434,0.0013664,0.0013664,0.0013664
66,2382.78,0.96056,0.84377,1.03619,0.63074,0.44293,0.43945,0.18168,2.05832,2.00159,2.05865,0.0013565,0.0013565,0.0013565
67,2432.48,0.91321,0.85499,1.05817,0.60938,0.44444,0.45179,0.19702,2.10614,1.95774,2.08826,0.0013466,0.0013466,0.0013466
68,2478.77,0.92116,0.8418,1.04585,0.59628,0.44444,0.42262,0.18398,2.07096,2.06016,2.11135,0.0013367,0.0013367,0.0013367
69,2520.31,0.92011,0.79535,1.04734,0.59416,0.44444,0.38636,0.16973,2.02215,2.15832,2.07561,0.0013268,0.0013268,0.0013268
70,2561.93,0.83313,0.83379,1.01094,0.62685,0.44444,0.44506,0.18564,1.99313,2.03346,1.96542,0.0013169,0.0013169,0.0013169
71,2600.79,0.83761,0.80941,1.00845,0.66074,0.40741,0.44044,0.19038,2.01212,2.0487,1.97873,0.001307,0.001307,0.001307
72,2640.34,0.91078,0.8831,1.07026,0.64879,0.44444,0.43537,0.19838,2.02589,1.90884,2.03056,0.0012971,0.0012971,0.0012971
73,2678.07,0.9443,0.83181,1.0433,0.65472,0.44444,0.47394,0.19708,2.14171,1.95091,2.16138,0.0012872,0.0012872,0.0012872
74,2713.96,0.87025,0.81515,1.01619,0.5771,0.44444,0.44509,0.17983,2.23991,1.89414,2.17037,0.0012773,0.0012773,0.0012773
75,2749.05,0.83631,0.77075,1.0003,0.4539,0.58507,0.45783,0.17288,2.20599,2.02412,2.12415,0.0012674,0.0012674,0.0012674
76,2783.73,0.80443,0.8016,0.97436,0.58704,0.44444,0.43901,0.17313,2.18232,2.03823,2.08748,0.0012575,0.0012575,0.0012575
77,2818.24,0.92036,0.80317,1.04632,0.52822,0.44444,0.3767,0.15384,2.22496,2.05419,2.17155,0.0012476,0.0012476,0.0012476
78,2853.94,0.87401,0.7692,1.04542,0.4975,0.48148,0.30632,0.1462,2.28845,1.99966,2.26227,0.0012377,0.0012377,0.0012377
79,2888.45,0.83346,0.72216,0.96235,0.53535,0.48148,0.32151,0.15505,2.28819,1.95475,2.30727,0.0012278,0.0012278,0.0012278
80,2922.16,0.90538,0.78269,0.9956,0.49937,0.48148,0.34153,0.14282,2.30395,1.88257,2.27074,0.0012179,0.0012179,0.0012179
81,2957.17,0.95596,1.02417,1.04915,0.46084,0.48148,0.3039,0.13365,2.51614,1.98476,2.47934,0.001208,0.001208,0.001208
82,2993.23,0.84401,0.73579,1.02049,0.67076,0.44444,0.4409,0.16831,2.28187,2.20879,2.35753,0.0011981,0.0011981,0.0011981
83,3028.47,0.96828,0.759,1.04177,0.69207,0.48148,0.43476,0.17553,2.18025,2.19769,2.20833,0.0011882,0.0011882,0.0011882
84,3063.48,0.92369,0.77971,1.04069,0.63851,0.48148,0.41821,0.17654,2.17329,2.29523,2.16965,0.0011783,0.0011783,0.0011783
85,3098.2,0.93082,0.82316,1.06936,0.54295,0.48148,0.43739,0.18972,2.24505,2.18883,2.27348,0.0011684,0.0011684,0.0011684
86,3132.01,0.84269,0.73919,1.01154,0.55719,0.44444,0.39865,0.17653,2.24624,2.17877,2.20318,0.0011585,0.0011585,0.0011585
87,3167.23,0.81041,0.72614,1.02544,0.50135,0.51852,0.39131,0.18246,2.18445,2.25319,2.12432,0.0011486,0.0011486,0.0011486
88,3203.49,0.76891,0.64284,0.98185,0.50631,0.51852,0.39005,0.17502,2.1756,2.23898,2.03855,0.0011387,0.0011387,0.0011387
89,3239.6,0.74056,0.64888,0.96803,0.63543,0.44444,0.39753,0.18425,2.12515,2.25643,1.89597,0.0011288,0.0011288,0.0011288
90,3275.38,0.80005,0.73573,1.00134,0.61833,0.48008,0.38722,0.18684,1.96728,2.04484,1.79442,0.0011189,0.0011189,0.0011189
91,3313.89,0.74711,0.6253,0.93311,0.58223,0.48148,0.40115,0.19112,1.91953,2.00588,1.81284,0.001109,0.001109,0.001109
92,3350.95,0.86908,0.73013,1.01347,0.59678,0.44444,0.38755,0.20128,1.91124,2.01836,1.82154,0.0010991,0.0010991,0.0010991
93,3390.57,0.77372,0.68339,0.94538,0.58042,0.51852,0.42783,0.21831,1.87482,2.07552,1.81053,0.0010892,0.0010892,0.0010892
94,3433.05,0.73276,0.62846,0.95091,0.49339,0.51852,0.4478,0.2193,1.91457,2.07478,1.86882,0.0010793,0.0010793,0.0010793
95,3478.05,0.69412,0.62396,0.94276,0.44031,0.55556,0.42566,0.19859,1.90525,2.19217,1.86894,0.0010694,0.0010694,0.0010694
96,3521.99,0.76937,0.61259,0.94975,0.42763,0.55556,0.41804,0.20492,1.91423,2.24513,1.88855,0.0010595,0.0010595,0.0010595
97,3572.05,0.78583,0.6977,1.00075,0.47567,0.48148,0.39282,0.1923,1.89862,2.1467,1.89244,0.0010496,0.0010496,0.0010496
98,3616.99,0.73025,0.65777,0.93209,0.53425,0.48148,0.45229,0.19674,2.03726,1.99476,1.9964,0.0010397,0.0010397,0.0010397
