epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2120.61,1.10688,1.06429,1.14608,0.61977,0.84211,0.73374,0.34608,1.7774,2.52131,1.61747,0.0015941,0.0015941,0.0015941
43,2174.81,1.09218,1.09084,1.14072,0.73764,0.8881,0.82994,0.42463,1.49921,1.6097,1.47537,0.0015842,0.0015842,0.0015842
44,2224.13,1.0139,1.01579,1.09475,0.74544,0.77123,0.81511,0.44254,1.57292,1.48967,1.55759,0.0015743,0.0015743,0.0015743
45,2258.96,1.05741,1.00192,1.12042,0.63166,0.81285,0.84235,0.44329,1.6769,1.57194,1.67885,0.0015644,0.0015644,0.0015644
46,2290.28,1.06057,0.99256,1.14318,0.8577,0.89474,0.93397,0.48567,1.62937,1.77638,1.65365,0.0015545,0.0015545,0.0015545
47,2321.92,1.06629,0.98123,1.12333,0.86367,0.73684,0.90021,0.47142,1.43895,1.65058,1.49859,0.0015446,0.0015446,0.0015446
48,2360.08,1.12766,1.09352,1.17973,0.71508,0.79268,0.89103,0.51349,1.43808,1.58537,1.45048,0.0015347,0.0015347,0.0015347
49,2395.13,1.0515,1.00736,1.12524,0.80973,0.73684,0.80765,0.50104,1.53557,1.33093,1.4478,0.0015248,0.0015248,0.0015248
50,2427.83,0.91554,0.9768,1.10085,0.60845,0.84211,0.72443,0.44052,1.6932,1.49417,1.56459,0.0015149,0.0015149,0.0015149
51,2458.87,1.01666,0.95588,1.1356,0.56581,0.63158,0.55548,0.33268,1.40028,2.45989,1.41582,0.001505,0.001505,0.001505
52,2490.78,1.08364,0.96171,1.15961,0.5954,0.73684,0.63994,0.35825,1.60275,2.72061,1.48099,0.0014951,0.0014951,0.0014951
53,2526.8,0.97719,1.01723,1.06764,0.63271,0.57895,0.63821,0.45879,1.36429,2.03329,1.43429,0.0014852,0.0014852,0.0014852
54,2566.95,1.02074,0.92542,1.0803,0.88291,0.57895,0.75121,0.53634,1.36142,1.53136,1.40829,0.0014753,0.0014753,0.0014753
55,2604.59,1.09212,1.04063,1.18305,0.80346,0.64613,0.77391,0.5053,1.38804,1.5015,1.40652,0.0014654,0.0014654,0.0014654
56,2635.41,0.99484,0.9916,1.12772,0.81776,0.57895,0.7014,0.46357,1.54764,1.43453,1.45391,0.0014555,0.0014555,0.0014555
57,2666.57,0.98624,0.91227,1.09103,0.75924,0.66465,0.77864,0.43236,1.54472,1.43067,1.49308,0.0014456,0.0014456,0.0014456
58,2698.38,1.02446,0.89705,1.09725,0.77545,0.72747,0.81353,0.45814,1.67571,1.39548,1.56977,0.0014357,0.0014357,0.0014357
59,2729.61,1.00043,0.8917,1.10759,0.67785,0.84211,0.75858,0.44852,1.83623,1.46949,1.66388,0.0014258,0.0014258,0.0014258
60,2760.74,1.02967,0.90701,1.1127,0.66389,0.83204,0.73531,0.43015,1.77622,1.56668,1.66628,0.0014159,0.0014159,0.0014159
61,2793.2,0.96925,0.84135,1.08094,0.4733,0.66262,0.56306,0.2985,1.76432,1.84083,1.60489,0.001406,0.001406,0.001406
62,2833.41,0.99201,0.93637,1.10271,0.55025,0.83725,0.59583,0.33163,1.79981,1.64269,1.62051,0.0013961,0.0013961,0.0013961
63,2874.31,1.00252,0.85006,1.07602,0.70926,0.73684,0.69491,0.46464,1.4362,1.47593,1.44171,0.0013862,0.0013862,0.0013862
64,2913.85,0.97083,0.84383,1.06135,0.8184,0.89474,0.86712,0.52362,1.39604,1.40663,1.39897,0.0013763,0.0013763,0.0013763
65,2950.8,0.96489,0.84983,1.04034,0.84191,0.84211,0.83995,0.52313,1.54762,1.37146,1.51894,0.0013664,0.0013664,0.0013664
66,2996.72,0.94664,0.82411,1.07979,0.88191,0.78947,0.84727,0.54406,1.52076,1.32663,1.49284,0.0013565,0.0013565,0.0013565
67,3035.67,1.0339,1.00452,1.12131,0.89119,0.86281,0.91963,0.54226,1.42728,1.28447,1.46892,0.0013466,0.0013466,0.0013466
68,3076.91,0.89295,0.81747,1.04319,0.83238,0.84211,0.88985,0.56847,1.39285,1.24927,1.44508,0.0013367,0.0013367,0.0013367
69,3120.81,0.97697,0.81991,1.07285,0.74686,0.78947,0.83163,0.53738,1.53703,1.18878,1.53909,0.0013268,0.0013268,0.0013268
70,3160.58,0.89892,0.76115,1.04986,0.90967,0.73684,0.87886,0.51581,1.50251,1.08433,1.51862,0.0013169,0.0013169,0.0013169
71,3204.35,0.9472,0.82749,1.05913,0.66201,0.72215,0.76169,0.45934,1.40054,1.39249,1.41774,0.001307,0.001307,0.001307
72,3245.23,0.90119,0.72149,1.03133,0.71116,0.77795,0.72556,0.45211,1.40493,1.50869,1.40877,0.0012971,0.0012971,0.0012971
73,3288.28,0.91067,0.77664,1.03539,0.61605,0.84458,0.81867,0.53676,1.39795,1.198,1.4868,0.0012872,0.0012872,0.0012872
74,3325.64,0.872,0.74279,1.03931,0.69401,0.83587,0.8266,0.54368,1.36006,1.15626,1.47741,0.0012773,0.0012773,0.0012773
75,3365.54,0.93545,0.81861,1.0755,0.92829,0.68149,0.8209,0.52975,1.48389,1.23227,1.54186,0.0012674,0.0012674,0.0012674
76,3405.92,0.94689,0.77152,1.04071,0.72443,0.84211,0.83716,0.54929,1.4178,1.30834,1.5054,0.0012575,0.0012575,0.0012575
77,3448.3,0.99311,0.80275,1.06159,0.89296,0.73684,0.8262,0.53662,1.45165,1.54665,1.5377,0.0012476,0.0012476,0.0012476
78,3487.18,0.93684,0.73198,1.06181,0.94893,0.78947,0.93611,0.52579,1.40911,1.48006,1.51328,0.0012377,0.0012377,0.0012377
79,3519.21,0.98964,0.79115,1.09011,0.86889,0.84211,0.91006,0.49241,1.33582,1.29659,1.43802,0.0012278,0.0012278,0.0012278
80,3549.72,0.88431,0.7103,1.03475,0.80111,0.89474,0.9054,0.52099,1.45068,1.24081,1.39708,0.0012179,0.0012179,0.0012179
81,3580.83,0.84506,0.71855,1.01023,0.88489,0.80988,0.90852,0.59214,1.14414,1.12177,1.23545,0.001208,0.001208,0.001208
82,3611.08,0.8873,0.69348,1.03692,0.9967,0.73684,0.89633,0.56443,1.15192,1.11184,1.2308,0.0011981,0.0011981,0.0011981
83,3653.63,0.84385,0.70298,1.03424,0.71142,0.77892,0.82257,0.55862,1.0984,1.22875,1.20022,0.0011882,0.0011882,0.0011882
84,3693.75,0.80325,0.68402,1.02691,0.61278,0.94737,0.84766,0.57758,1.1247,1.28362,1.20133,0.0011783,0.0011783,0.0011783
85,3732.74,0.78584,0.63781,0.99721,0.66394,0.93616,0.88095,0.55861,1.31402,1.39719,1.25179,0.0011684,0.0011684,0.0011684
86,3772.05,1.20215,1.01438,1.37764,0.77133,0.73684,0.88161,0.55445,1.24243,1.38829,1.20285,0.0011585,0.0011585,0.0011585
87,3813.13,0.80713,0.65733,0.99227,0.93308,0.73399,0.91742,0.54552,1.18501,1.45551,1.18724,0.0011486,0.0011486,0.0011486
88,3847.31,0.79184,0.64017,0.98593,0.94095,0.83888,0.94302,0.5699,1.34562,1.31681,1.26965,0.0011387,0.0011387,0.0011387
89,3882.47,0.80858,0.70632,1.01408,0.9433,0.87628,0.95222,0.5423,1.71155,1.18195,1.50513,0.0011288,0.0011288,0.0011288
90,3918.85,0.81282,0.63991,0.99299,0.83622,0.89474,0.91352,0.49693,1.77286,1.10879,1.55122,0.0011189,0.0011189,0.0011189
91,3954.23,0.83981,0.66953,1.00825,0.91313,0.84211,0.91012,0.53521,1.55608,1.11994,1.47243,0.001109,0.001109,0.001109
92,3989.37,0.78212,0.66677,0.97499,0.87757,0.78947,0.83739,0.57542,1.49334,1.23797,1.46795,0.0010991,0.0010991,0.0010991
93,4022.97,0.78065,0.64892,0.95279,0.93662,0.77832,0.83908,0.54351,1.52685,1.17054,1.52472,0.0010892,0.0010892,0.0010892
94,4059.03,0.89049,0.67998,1.00419,0.83951,0.82651,0.80137,0.54026,1.45753,1.19934,1.50656,0.0010793,0.0010793,0.0010793
95,4096.23,0.77012,0.62629,0.95934,0.80871,0.89022,0.83435,0.53051,1.48358,1.23289,1.55752,0.0010694,0.0010694,0.0010694
96,4134.4,0.75729,0.6424,0.99428,0.8359,0.89474,0.89379,0.53333,1.55421,1.21456,1.64618,0.0010595,0.0010595,0.0010595
97,4179.24,0.78673,0.64595,0.97086,0.94079,0.83651,0.92233,0.54943,1.48443,1.07793,1.59342,0.0010496,0.0010496,0.0010496
98,4224.26,0.78332,0.61665,1.00676,1,0.83071,0.93834,0.53598,1.52589,1.11803,1.60339,0.0010397,0.0010397,0.0010397
99,4270.2,0.83285,0.69084,0.97907,0.9232,0.84211,0.9473,0.55884,1.59134,1.05968,1.66865,0.0010298,0.0010298,0.0010298
100,4316.02,0.76042,0.61005,0.96467,0.92432,0.84211,0.95634,0.57016,1.58653,1.04982,1.69245,0.0010199,0.0010199,0.0010199
101,4361.73,0.73375,0.62748,0.98082,0.82401,0.94737,0.92879,0.52481,1.55414,1.29566,1.66158,0.00101,0.00101,0.00101
102,4407.46,0.76869,0.64087,0.97893,0.81724,0.94166,0.91014,0.52563,1.51553,1.34032,1.6131,0.0010001,0.0010001,0.0010001
103,4455.68,0.71284,0.63346,0.98181,0.72948,0.84211,0.81842,0.50405,1.51268,1.17191,1.50306,0.0009902,0.0009902,0.0009902
104,4505.44,0.7706,0.62003,0.99266,0.79023,0.84211,0.81236,0.5166,1.54967,1.10966,1.44363,0.0009803,0.0009803,0.0009803
105,4555.99,0.76782,0.63182,0.96969,0.76601,0.89474,0.82462,0.54836,1.57734,1.17234,1.38923,0.0009704,0.0009704,0.0009704
106,4604.14,0.7649,0.60074,0.95534,0.77205,0.89142,0.82542,0.51862,1.62094,1.2103,1.43144,0.0009605,0.0009605,0.0009605
107,4652.49,0.75417,0.5686,0.97299,0.70711,0.78947,0.78363,0.50946,1.79081,1.49878,1.47895,0.0009506,0.0009506,0.0009506
108,4697.11,0.77725,0.62109,0.95255,0.74363,0.63158,0.77112,0.49922,1.76092,1.53629,1.45135,0.0009407,0.0009407,0.0009407
109,4733.72,0.79089,0.62027,0.99458,0.8548,0.68421,0.78524,0.50263,1.72301,1.54255,1.44188,0.0009308,0.0009308,0.0009308
110,4766.45,0.74182,0.57712,0.9535,0.76494,0.73684,0.78151,0.5256,1.63576,1.57271,1.4428,0.0009209,0.0009209,0.0009209
111,4805.8,0.71839,0.58311,0.97229,0.7302,0.73684,0.77418,0.54235,1.61523,1.74899,1.48764,0.000911,0.000911,0.000911
112,4843.65,0.69398,0.55321,0.94453,0.82254,0.73214,0.78158,0.525,1.61388,1.6734,1.50611,0.0009011,0.0009011,0.0009011
113,4884.82,0.6831,0.56955,0.9445,0.81796,0.78947,0.82876,0.55663,1.59194,1.36848,1.5341,0.0008912,0.0008912,0.0008912
114,4924.59,0.69635,0.55099,0.94752,0.94082,0.83698,0.94111,0.58283,1.61331,1.28753,1.59436,0.0008813,0.0008813,0.0008813
115,4965.04,0.74583,0.58768,0.96065,0.87552,0.84211,0.87753,0.5633,1.69279,1.22443,1.69238,0.0008714,0.0008714,0.0008714
116,5007.72,0.73743,0.55611,0.95118,0.87753,0.84211,0.86924,0.56222,1.67968,1.22498,1.68589,0.0008615,0.0008615,0.0008615
117,5048.74,0.76357,0.66139,1.00468,0.8328,0.84211,0.90119,0.5624,1.56247,1.24576,1.59685,0.0008516,0.0008516,0.0008516
118,5094.45,0.71971,0.61045,0.97122,0.8907,0.85838,0.914,0.56281,1.55617,1.2565,1.60043,0.0008417,0.0008417,0.0008417
119,5137.24,0.68754,0.63235,0.95569,0.92932,0.78947,0.88682,0.50315,1.54902,1.27274,1.61838,0.0008318,0.0008318,0.0008318
120,5174.55,0.76377,0.6732,1.00726,0.83453,0.84211,0.88422,0.49098,1.58219,1.27208,1.65495,0.0008219,0.0008219,0.0008219
121,5217.11,0.68874,0.55338,0.94551,0.78119,0.78947,0.80895,0.48514,1.60547,1.3094,1.65091,0.000812,0.000812,0.000812
122,5256.06,0.6321,0.51576,0.91166,0.7652,0.89474,0.89891,0.51227,1.55126,1.32306,1.6133,0.0008021,0.0008021,0.0008021
123,5295.32,0.71798,0.54892,0.94287,0.91734,0.73684,0.89318,0.49908,1.60616,1.40307,1.62833,0.0007922,0.0007922,0.0007922
124,5334.55,0.70012,0.55282,0.96719,0.88646,0.68421,0.82431,0.50987,1.65724,1.3589,1.65241,0.0007823,0.0007823,0.0007823
125,5374.17,0.68028,0.54124,0.9404,0.75959,0.83187,0.82456,0.50063,1.62307,1.50503,1.64146,0.0007724,0.0007724,0.0007724
126,5413.23,0.6746,0.53166,0.94455,0.78021,0.73684,0.82443,0.50107,1.5833,1.55496,1.60669,0.0007625,0.0007625,0.0007625
127,5453.76,0.66949,0.52824,0.93822,0.80975,0.94737,0.922,0.53076,1.4452,1.58419,1.52703,0.0007526,0.0007526,0.0007526
128,5486.77,0.69856,0.5478,0.93071,0.79523,0.89474,0.87496,0.5283,1.42995,1.6288,1.5177,0.0007427,0.0007427,0.0007427
129,5518.95,0.67782,0.56282,0.93737,0.69892,0.73323,0.74893,0.53666,1.5652,1.48763,1.53485,0.0007328,0.0007328,0.0007328
130,5555.74,0.68612,0.56081,0.94782,0.70194,0.78947,0.77661,0.57856,1.64465,1.52179,1.55915,0.0007229,0.0007229,0.0007229
131,5591.69,0.67086,0.55025,0.96258,0.77995,0.68421,0.77473,0.5599,1.83238,1.72523,1.61126,0.000713,0.000713,0.000713
132,5628.45,0.67268,0.53397,0.9189,0.87661,0.68421,0.82242,0.56516,2.06285,1.86506,1.75502,0.0007031,0.0007031,0.0007031
133,5664.03,0.67239,0.52417,0.93035,0.87005,0.78947,0.87438,0.60478,1.853,1.78188,1.64574,0.0006932,0.0006932,0.0006932
134,5698.33,0.66064,0.50825,0.92678,0.81516,0.92899,0.94115,0.6245,1.67664,1.71861,1.59646,0.0006833,0.0006833,0.0006833
135,5731.97,0.69891,0.50595,0.92888,0.98728,0.73684,0.91765,0.61348,1.77354,1.68059,1.57983,0.0006734,0.0006734,0.0006734
136,5767.49,0.65102,0.54006,0.9017,0.83554,0.68421,0.80863,0.56845,1.88835,1.70561,1.56107,0.0006635,0.0006635,0.0006635
137,5802.09,0.72933,0.56848,0.96114,0.80579,0.68421,0.80721,0.5417,1.80259,1.89911,1.50677,0.0006536,0.0006536,0.0006536
138,5835.37,0.69614,0.55823,0.92929,0.7569,0.68421,0.79891,0.57913,1.71499,1.93469,1.49758,0.0006437,0.0006437,0.0006437
139,5871.25,0.59492,0.49765,0.90642,0.91536,0.73684,0.88176,0.59589,1.66769,1.87495,1.51946,0.0006338,0.0006338,0.0006338
140,5904.53,0.59731,0.48839,0.88824,0.90959,0.78947,0.89255,0.60112,1.66647,1.96861,1.5246,0.0006239,0.0006239,0.0006239
141,5938.61,0.58608,0.46571,0.89827,0.81823,0.73684,0.80889,0.56894,1.77416,1.93388,1.5877,0.000614,0.000614,0.000614
142,5975.81,0.63318,0.47674,0.89932,0.81639,0.73684,0.78985,0.57104,1.78363,1.86317,1.56883,0.0006041,0.0006041,0.0006041
143,6017.58,0.72403,0.58137,0.99124,0.78799,0.78281,0.78948,0.56766,1.68508,1.51992,1.52054,0.0005942,0.0005942,0.0005942
144,6055.83,0.65077,0.52024,0.93561,0.80746,0.88334,0.90307,0.55585,1.60686,1.28727,1.56377,0.0005843,0.0005843,0.0005843
145,6098.65,0.68434,0.5137,0.92348,0.87813,0.84211,0.93448,0.58589,1.52535,1.21437,1.57971,0.0005744,0.0005744,0.0005744
146,6139.41,0.69124,0.52537,0.95546,0.83319,0.84211,0.86696,0.59168,1.5334,1.15747,1.60882,0.0005645,0.0005645,0.0005645
147,6176.49,0.58175,0.46401,0.90115,0.89385,0.88676,0.96188,0.55573,1.49036,1.23027,1.56847,0.0005546,0.0005546,0.0005546
148,6215.36,0.59734,0.50131,0.91526,0.88511,0.89474,0.959,0.54284,1.43298,1.24372,1.52456,0.0005447,0.0005447,0.0005447
149,6258.89,0.63663,0.48879,0.90715,0.83983,0.84211,0.93233,0.57214,1.39298,1.23528,1.50453,0.0005348,0.0005348,0.0005348
150,6307.43,0.60506,0.49443,0.92539,0.84518,0.86263,0.94025,0.58025,1.46924,1.30752,1.56729,0.0005249,0.0005249,0.0005249
151,6348.91,0.63819,0.48857,0.93554,0.79527,0.89474,0.85054,0.56493,1.5066,1.3178,1.59052,0.000515,0.000515,0.000515
152,6396.09,0.64099,0.48427,0.92033,0.7995,0.89474,0.84195,0.58313,1.45085,1.29092,1.55427,0.0005051,0.0005051,0.0005051
153,6438.34,0.61254,0.46669,0.92336,0.825,0.99278,0.97262,0.58946,1.29034,1.18331,1.42932,0.0004952,0.0004952,0.0004952
154,6476.73,0.61294,0.48766,0.92229,0.96008,0.94737,0.983,0.59598,1.28445,1.17203,1.41182,0.0004853,0.0004853,0.0004853
155,6516.66,0.54149,0.42535,0.89007,0.92492,0.84211,0.88763,0.60935,1.39886,1.27905,1.43231,0.0004754,0.0004754,0.0004754
156,6554.63,0.60156,0.48925,0.90292,0.89323,0.88121,0.89108,0.6087,1.42949,1.32225,1.4509,0.0004655,0.0004655,0.0004655
157,6602.65,0.61842,0.47751,0.92453,0.93632,0.89474,0.97681,0.61147,1.43655,1.41177,1.45686,0.0004556,0.0004556,0.0004556
158,6640.96,0.58974,0.4656,0.89308,0.93633,0.94737,0.97616,0.60189,1.38531,1.35159,1.43689,0.0004457,0.0004457,0.0004457
159,6675.34,0.57681,0.4664,0.88754,0.8878,0.89474,0.96239,0.60813,1.36257,1.35728,1.44722,0.0004358,0.0004358,0.0004358
160,6710.44,0.66348,0.55272,0.95993,0.87891,0.89474,0.95134,0.61866,1.35689,1.31724,1.44519,0.0004259,0.0004259,0.0004259
161,6748.52,0.57564,0.45742,0.89303,0.88777,0.73684,0.85431,0.5971,1.47527,1.37103,1.46181,0.000416,0.000416,0.000416
162,6783.9,0.65262,0.49734,0.95571,0.87499,0.73675,0.84421,0.58382,1.54205,1.48126,1.44119,0.0004061,0.0004061,0.0004061
163,6821.61,0.57931,0.46856,0.88869,0.86677,0.73684,0.85449,0.61362,1.53694,1.54481,1.31137,0.0003962,0.0003962,0.0003962
164,6853.52,0.59776,0.45473,0.90251,0.84321,0.73684,0.85714,0.61828,1.33749,1.73033,1.21378,0.0003863,0.0003863,0.0003863
165,6883.83,0.5794,0.45856,0.87731,0.79799,0.73684,0.86118,0.63889,1.33567,1.68222,1.22081,0.0003764,0.0003764,0.0003764
166,6917.35,0.54521,0.44784,0.90653,0.79483,0.73684,0.85596,0.62213,1.43944,1.74897,1.28503,0.0003665,0.0003665,0.0003665
167,6951.79,0.56487,0.45562,0.87235,0.74778,0.78061,0.85085,0.60847,1.62452,1.66954,1.39884,0.0003566,0.0003566,0.0003566
168,6985.56,0.53615,0.43417,0.84989,0.79564,0.78947,0.86227,0.59748,1.75424,1.53243,1.51555,0.0003467,0.0003467,0.0003467
169,7021.77,0.544,0.43968,0.88603,0.83025,0.78947,0.83492,0.59788,1.75925,1.45775,1.55109,0.0003368,0.0003368,0.0003368
