epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7283,2.33014,4.36643,1.92787,0.00083,0.14286,0.00056,0.00022,2.34178,4.67052,2.8475,2e-05,2e-05,2e-05
2,21.066,3.20872,6.82735,2.37302,0.00167,0.28571,0.00116,0.00029,2.25964,4.64598,2.75478,5.9406e-05,5.9406e-05,5.9406e-05
3,29.3349,2.27658,5.39363,2.03867,0.00167,0.28571,0.01058,0.00132,2.23243,4.68351,2.74701,9.802e-05,9.802e-05,9.802e-05
4,37.5685,2.15557,4.89354,1.94171,0.00167,0.28571,0.02162,0.01059,2.26932,4.53621,2.7275,0.000135842,0.000135842,0.000135842
5,45.7285,1.75427,3.46674,1.46626,0.0025,0.42857,0.05006,0.02941,2.23919,4.45011,2.72446,0.000172872,0.000172872,0.000172872
6,54.8426,1.87174,3.72619,1.78099,0.00417,0.71429,0.07666,0.04424,2.1399,4.34218,2.66462,0.00020911,0.00020911,0.00020911
7,63.7118,1.89025,4.52754,1.74982,0.00417,0.71429,0.07723,0.04453,2.03089,4.31109,2.53659,0.000244556,0.000244556,0.000244556
8,73.0996,1.47032,3.36158,1.52696,0.005,0.85714,0.07903,0.05974,1.96802,4.11844,2.39094,0.00027921,0.00027921,0.00027921
9,82.1689,1.42568,3.10654,1.39171,0.00583,1,0.1534,0.11895,1.8049,4.03749,2.16443,0.000313072,0.000313072,0.000313072
10,92.2838,1.55067,3.37685,1.48943,0.00583,1,0.15447,0.11974,1.76275,3.79155,1.84555,0.000346142,0.000346142,0.000346142
11,101.539,1.28815,2.94434,1.33282,0.00583,1,0.26413,0.068,1.57961,3.80816,1.6461,0.00037842,0.00037842,0.00037842
12,109.843,1.33795,2.94478,1.23261,0.00583,1,0.26413,0.068,1.57961,3.80816,1.6461,0.000409906,0.000409906,0.000409906
13,120.111,1.33929,2.55373,1.20786,0.00583,1,0.49258,0.08664,1.63548,3.83729,1.56094,0.0004406,0.0004406,0.0004406
14,130.15,1.75444,2.71419,1.45601,0.00583,1,0.34938,0.09603,1.6683,3.5679,1.51414,0.000470502,0.000470502,0.000470502
15,139.21,1.47474,2.28045,1.40222,0.00583,1,0.34938,0.09603,1.6683,3.5679,1.51414,0.000499612,0.000499612,0.000499612
16,148.177,1.05896,2.07022,1.10024,0.00583,1,0.26224,0.10811,1.69184,3.54814,1.43056,0.00052793,0.00052793,0.00052793
17,157.034,1.01722,2.17622,1.03729,0.00583,1,0.35542,0.10724,1.79999,3.65883,1.51422,0.000555456,0.000555456,0.000555456
18,165.855,0.96298,1.77553,1.02544,0.00583,1,0.35542,0.10724,1.79999,3.65883,1.51422,0.00058219,0.00058219,0.00058219
19,174.379,0.90575,2.14165,0.99829,0.00583,1,0.10537,0.04804,1.68915,3.68789,1.6153,0.000608132,0.000608132,0.000608132
20,183.363,1.46935,2.2161,1.27842,0.00583,1,0.10537,0.04804,1.68915,3.68789,1.6153,0.000633282,0.000633282,0.000633282
21,192.648,1.20545,2.26513,1.13437,0.00583,1,0.21873,0.09396,1.6304,3.69974,1.72932,0.00065764,0.00065764,0.00065764
22,201.096,1.20519,1.93374,1.10005,0.00583,1,0.21873,0.09396,1.6304,3.69974,1.72932,0.000681206,0.000681206,0.000681206
23,210.188,1.23202,2.31638,1.25969,0.00583,1,0.08509,0.04389,1.70189,3.6718,1.74784,0.00070398,0.00070398,0.00070398
24,218.564,1.13513,1.59376,1.03305,0.00583,1,0.08509,0.04389,1.70189,3.6718,1.74784,0.000725962,0.000725962,0.000725962
25,227.815,1.47516,1.84538,1.17215,0.00583,1,0.05928,0.02965,1.79595,3.46544,1.74044,0.000747152,0.000747152,0.000747152
26,236.738,1.07584,2.11046,1.12421,0.00583,1,0.05928,0.02965,1.79595,3.46544,1.74044,0.00076755,0.00076755,0.00076755
